name,employers,vacancies
Москва,5864,5333
Санкт-Петербург,2217,2851
Минск,1115,2112
Алматы,721,1892
Екатеринбург,609,1698
Новосибирск,573,2006
Казань,480,1415
Нижний Новгород,426,1670
Россия,410,0
Краснодар,409,1301
Ростов-на-Дону,335,1131
Красноярск,331,847
Ташкент,326,851
Самара,315,1144
Нур-Султан,312,840
Челябинск,310,786
Воронеж,292,1063
Уфа,252,767
Пермь,250,771
Тюмень,218,547
Омск,210,617
Казахстан,207,0
Томск,191,692
Ижевск,189,466
Иркутск,187,451
Барнаул,187,374
Калининград,157,343
Тула,149,343
Владивосток,148,539
Саратов,138,579
Ярославль,137,391
Кемерово,121,316
Белгород,115,253
Рязань,115,346
Хабаровск,112,338
Киров (Кировская область),111,293
Пенза,111,305
Сочи,109,230
Волгоград,107,456
Тольятти,100,229
Иваново (Ивановская область),94,190
Тверь,94,274
Чебоксары,91,245
Набережные Челны,91,202
Ульяновск,88,332
Липецк,85,203
Владимир,83,219
Ставрополь,79,155
Бишкек,77,166
Московская область,75,0
Новокузнецк,71,156
Оренбург,69,199
Симферополь,68,187
Кострома,67,146
Вологда,66,153
Курск,66,178
США,61,12
Караганда,60,102
Смоленск,57,141
Таганрог,56,116
Калуга,55,158
Брянск,53,161
Мурманск,50,100
Атырау,48,93
Архангельск,48,99
Тамбов,47,123
Орел,47,115
Улан-Удэ,46,84
Севастополь,44,152
Магнитогорск,43,91
Астрахань,42,115
Благовещенск (Амурская область),41,94
Саранск,39,113
Брест,39,54
Сургут,38,86
Гродно,37,50
Витебск,37,42
Чита,36,111
Йошкар-Ола,35,97
Кипр,35,136
Гомель,34,61
Великий Новгород,34,105
Нижневартовск,34,73
Псков,33,90
Мытищи,32,94
Петрозаводск,32,97
Южно-Сахалинск,31,86
Павлодар,30,44
Одинцово,30,56
Могилев,29,34
Курган,28,93
Шымкент,27,62
Череповец,27,99
Махачкала,27,76
Костанай,27,29
Зеленоград,27,132
Новороссийск,26,66
Сыктывкар,26,42
Якутск,26,54
Усть-Каменогорск,25,27
Волжский (Волгоградская область),23,57
Подольск (Московская область),23,77
Великобритания,23,2
Химки,22,77
Бийск,22,48
Обнинск,21,57
Эстония,19,3
Краснодарский край,19,0
Красногорск,19,45
Ростовская область,18,0
Беларусь,18,0
Азербайджан,17,0
Пятигорск,17,39
Энгельс,16,34
Нижний Тагил,16,43
Нижегородская область,16,0
Республика Татарстан,16,0
Германия,16,19
Петропавловск-Камчатский,16,61
Королев,15,63
Узбекистан,15,0
Дзержинск (Нижегородская область),14,46
Ангарск,14,39
Ханты-Мансийск,14,31
Уральск,13,18
Актобе,13,28
Тбилиси,13,474
Дубна,13,28
Нижнекамск,13,32
Абакан,13,37
Актау,12,22
Альметьевск,12,35
Владикавказ,12,32
Борисов,12,10
Иннополис,12,91
Старый Оскол,11,40
Видное,11,15
Новый Уренгой,11,43
Братск,11,37
Латвия,11,10
Анапа,11,31
Миасс,10,24
Чехия,10,14
Армения,10,223
Раменское,10,26
Щелково,10,39
Ногинск,10,20
Баку,10,91
Белгородская область,10,0
Балашиха,10,46
Петропавловск,10,23
Рыбинск,10,44
Люберцы,10,37
Магадан,10,25
Сингапур,10,0
Ялта,9,16
Калужская область,9,0
Ленинградская область,9,0
Истра,9,16
Литва,8,19
Кокшетау,8,13
Ковров,8,37
Тараз,8,11
Норильск,8,38
Самарканд,8,16
Армавир,8,18
Электросталь,7,16
Финляндия,7,7
Майкоп,7,21
Самарская область,7,0
Минеральные Воды,7,13
Солнечногорск,7,20
Барановичи,7,5
Дмитров,7,16
Семей,7,8
Домодедово,7,32
Воронежская область,7,0
Гатчина,7,13
ОАЭ,6,12
Австралия,6,0
Всеволожск,6,14
Нидерланды,6,2
Комсомольск-на-Амуре,6,49
Бердск,6,18
Ульяновская область,6,0
Елабуга,6,17
Стерлитамак,6,26
Орехово-Зуево,6,21
Ставропольский край,6,0
Новокуйбышевск,6,25
Кыргызстан,6,0
Тобольск,6,16
Новомосковск (Тульская область),6,27
Новочеркасск,6,40
Черкесск,6,13
Долгопрудный,6,30
Серпухов,6,15
Белово,6,6
Волгодонск,6,19
Кировская область,6,0
Березники,6,23
Чехов,5,11
Муром,5,25
Ивановская область,5,0
Ноябрьск,5,11
Жуковский,5,24
Новочебоксарск,5,14
Салават,5,18
Пушкино (Московская область),5,32
Швейцария,5,0
Канада,5,0
Салехард,5,7
Первоуральск,5,15
Уссурийск,5,36
Елец,5,15
Балаково,5,19
Липецкая область,5,0
Нефтекамск,5,13
Тульская область,5,0
Новосибирская область,5,0
Клин,5,14
Находка,5,37
Кстово,5,15
Климовск (Московская область),5,3
Талдыкорган,4,18
Орск,4,24
Краснокамск,4,4
Аксай (Казахстан),4,25
Каменск-Уральский,4,12
Нефтеюганск,4,29
Сызрань,4,21
Димитровград,4,13
Аксай (Ростовская область),4,5
Темиртау,4,7
Пензенская область,4,0
Лида,4,4
Кемеровская область,4,0
Фрязино,4,9
Польша,4,53
Волгоградская область,4,0
Златоуст,4,10
Чувашская Республика,4,0
Кирово-Чепецк,4,5
Шахты,4,15
Иркутская область,4,0
Республика Крым,4,0
Реутов,4,13
Рязанская область,4,0
Коломна,4,31
Свердловская область,4,0
Северодвинск,4,16
Сергиев Посад,4,21
Ивантеевка,4,11
Солигорск,4,3
Костромская область,3,0
Прокопьевск,3,13
Алтайский край,3,0
Полоцк,3,2
Наро-Фоминск,3,16
Бобруйск,3,5
Саяногорск,3,6
Турция,3,39
Сосновоборск,3,8
Павловск (Воронежская область),3,6
